Dates,Period,Cultural_component
1100 A.D. - contact,Final Ceramic,- Suazan Troumassoid
1100 A.D. - contact,Final Ceramic,- Marmoran Troumassoid (Marmora Bay)
1100 A.D. - contact,Final Ceramic,- Chican Ostionoid / Chicoid
750 A.D. - 1100 A.D.,Late Ceramic,- Troumassan Troumassoid
750 A.D. - 1100 A.D.,Late Ceramic,- Marmoran Troumassoid (Mill Reef)
750 A.D. - 1100 A.D.,Late Ceramic,- Ostionan Ostionoid
750 A.D. - 1100 A.D.,Late Ceramic,- Elenan Ostionoid
750 A.D. - 1100 A.D.,Late Ceramic,- Late Cedrosan Saladoid
750 A.D. - 1100 A.D.,Late Ceramic,- Caliviny
400 A.D. - 750 A.D.,Middle Ceramic,- Middle/Late Cedrosan Saladoid
(400 ?) 200 B.C. - 400 A.D.,Early Ceramic,- Early Cedrosan Saladoid
(400 ?) 200 B.C. - 400 A.D.,Early Ceramic,- Huecan Saladoid / Huecoid
