Site,Anthropomorphic,Anthropozoomorphic,Barrel,Bead_pendant,Biconical,Cylindrical,Discoid,Faceted,Geometric,Planoconvex,Spherical,Zoomorphic,Total
Anse à la Gourde,-,-,4,-,-,4,14,-,-,-,-,-,22
Baie Orientale 2,-,-,-,-,-,11,1,-,-,-,-,-,12
El Cabo,-,-,-,18,-,-,9,-,-,-,-,-,27
El Flaco,-,-,13,22,-,-,38,-,-,-,-,-,73
Elliot's,-,-,7,-,-,8,-,-,-,-,-,2,17
Gare maritime,-,-,4,-,-,6,17,-,-,1,2,4,34
Grand Bay,-,-,1,-,-,2,8,-,1,-,-,-,12
Hacienda Grande,-,1,1,-,1,3,2,-,-,-,-,2,10
Hope Estate,-,-,19,-,2,22,34,-,4,3,-,13,97
La Hueca,6,-,87,-,5,154,608,-,48,356,-,1579,2843
Main Street,-,-,1,-,-,7,1,-,-,-,-,1,10
Morel,2,-,14,-,5,21,1,-,-,-,1,7,51
Pearls,-,-,269,1,6,251,546,-,69,48,2,100,1292
Prosperity,-,-,3,-,-,9,3,-,3,2,-,2,22
Sorcé,2,2,12,-,84,309,233,-,-,73,-,71,786
Tecla,1,2,1,-,-,31,15,-,-,2,-,7,59
Trants,-,-,25,-,1,64,13,20,1,-,-,6,130
Vivé,-,-,6,-,4,7,13,-,-,2,1,2,35
