Site,Index,Period,Cultural_component,Anorthite,Amethyst,Aventurine,Barytine,Calcite,Carnelian,Chalcedony,Diorite,Jasper,Limestone,Malachite,Marble,Nephrite,Paragonite,Rock_crystal,Serpentine,Stalactite,Sudoite,Turquoise
Anse à la Gourde,GD-03,Late Ceramic,Troumassoid,1,-,-,-,12,-,-,4,-,-,-,1,-,-,-,1,1,-,1
Baie Orientale,SM-01,Late Ceramic,Troumassoid,-,-,-,-,99,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Doig's,AN-04,Early-Middle Ceramic,Cedrosan Saladoid,-,-,-,-,2,-,-,2,-,-,-,-,3,-,2,2,-,-,-
El Cabo,HI-04,Late-Final Ceramic,Ostionoid,-,-,-,-,6,-,-,25,-,-,-,-,-,-,-,-,1,-,-
El Flaco,HI-01,Late-Final Ceramic,Ostionoid,-,-,-,-,65,-,-,17,-,-,-,-,-,-,-,-,-,-,-
Elliot's,AN-01,Middle Ceramic,Cedrosan Saladoid,-,1,-,4,5,3,10,6,-,12,1,-,2,-,9,1,-,-,-
Gare Maritime,GD-01,Early Ceramic,Huecan Saladoid,-,9,1,-,3,-,-,1,1,-,-,-,1,1,3,17,-,3,7
Golden Grove,TO-02,Late Ceramic,Troumassoid/Barrancoid,-,-,-,-,-,-,-,271,-,-,-,-,-,-,-,-,-,-,-
Golden Rock,SE-01,Middle Ceramic,Cedrosan Saladoid,-,-,-,-,-,-,-,-,-,-,-,-,-,-,81,-,-,-,-
Grand Bay,CA-01,Middle-Late Ceramic,Cedrosan Saladoid,-,-,-,-,1,3,-,6,-,-,-,-,-,-,-,1,-,-,-
Grand Case,SM-03,Late Ceramic,Troumassoid,-,-,-,-,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Hope Estate,SM-02,Early Ceramic,Huecan/Cedrosan Saladoid,2,8,-,-,24,3,1,11,-,1,1,1,1,11,14,5,-,2,2
La Hueca,VI-02,Early Ceramic,Huecan Saladoid,-,4,10,-,9,2,2,3,-,-,5,1,9,-,10,677,-,-,3
Main Street,ST-02,Early Ceramic,Cedrosan Saladoid,-,-,-,-,1,1,-,1,-,1,1,1,1,-,6,-,-,-,-
Morel,GD-02,Early Ceramic,Huecan/Cedrosan Saladoid,-,13,1,-,4,9,-,10,-,-,-,1,3,1,13,1,1,2,-
Pearls,GR-01,Early Ceramic,Cedrosan Saladoid,-,23,-,-,-,9,2,14,-,-,-,-,26,-,22,9,-,-,10
Playa Grande,HI-05,Late-Final Ceramic,Ostionoid,-,-,-,-,2,-,-,11,-,-,-,-,-,-,-,-,-,-,-
Punta Candelero,PR-04,Early Ceramic,Huecan Saladoid,-,-,27,-,-,-,-,-,-,-,75,8,4,-,63,257,-,-,24
Royall's,AN-03,Middle Ceramic,Cedrosan Saladoid,-,-,-,8,59,56,8,15,3,23,-,-,1,-,18,3,-,-,1
Sorcé,VI-01,Early Ceramic,Cedrosan Saladoid,-,2,2,-,3,1,2,2,-,-,3,-,8,-,4,39,-,-,2
Trants,MO-01,Early Ceramic,Cedrosan Saladoid,1,23,13,-,-,146,-,270,-,-,-,-,2,-,49,1,-,-,11
Vivé,MA-02,Early Ceramic,Cedrosan Saladoid,1,6,-,1,1,3,2,5,1,-,-,-,2,2,2,-,-,1,9
