Site,Bead,Pendant,Non_perforated_plate,Bead_pendant,Earplug,Total
Anse à la Gourde,22,1,-,-,-,23
Baie Orientale 2,14,-,-,-,-,14
Doig's,42,1,-,-,-,43
El Cabo,16,-,1,18,2,37
El Carril,2,2,-,6,-,10
El Flaco,68,1,-,22,-,91
Elliot's,32,14,-,-,-,46
Gare maritime,31,4,-,-,-,35
Golden Grove,49,-,-,-,-,49
Golden Rock,81,-,-,-,-,81
Grand Bay,16,1,-,-,-,17
Hope Estate,82,19,-,-,1,102
La Hueca,1210,1633,34,-,-,2877
Main Street,11,1,-,-,-,12
Morel,42,10,-,-,-,52
Pearls,1137,175,-,1,-,1313
Playa Grande,8,3,-,2,4,17
Prosperity,19,5,-,-,-,24
Punta   Candelero,360,232,-,-,-,592
Royall's,73,8,-,-,-,81
Seaview,18,-,-,-,-,18
Sorcé,711,118,225,-,-,1054
Tecla,49,10,13,-,-,72
Trants,523,12,-,-,-,535
Vivé,35,2,-,-,1,38
