,Biconical,Cylindrical,Discoid,Faceted,Geometric,Planoconvex,Spherical,Barrel,Zoomorphic
Amethyst,8,31,39,2,0,7,2,69,1
Anorthite,0,0,4,0,0,0,0,0,0
Barytine,0,2,0,0,0,0,0,0,0
Limestone,0,0,0,0,0,0,0,2,0
Chalcedony,0,0,0,0,0,0,0,2,0
Calcite,1,46,53,0,6,1,0,17,11
Carnelian,0,37,12,4,0,0,0,47,0
Rock crystal,8,74,78,2,2,9,0,36,4
Diorite,2,201,168,6,0,2,0,135,1
Jasper,0,0,0,0,0,0,0,2,0
Marble,0,3,0,0,0,0,0,1,0
Stalactite,0,1,0,0,0,0,0,1,0
Turquoise,0,7,135,1,10,29,0,15,4
Greenstone,3,18,38,1,30,10,2,4,776
