Site,Index,Longitude,Latitude,Subserie,Period,Anthropomorphic,Anthropozoomorphic,Biconical,Cylindrical,Discoid,Faceted,Geometric,Bead-pendant,Planoconvex,Spherical,Barrel,Zoomorphic
Anse à la Gourde,GD-03,-61.213342,16.258598,Troumassan,Late Ceramic,0,0,0,4,14,0,0,0,0,0,4,0
Baie Orientale 2,SM-01,-63.020342,18.087671,Troumassan,Late Ceramic,0,0,0,11,1,0,0,0,0,0,0,0
El Cabo,HI-04,-68.45222,18.39787,Ostionan,Late-Final Ceramic,0,0,0,0,9,0,0,18,0,0,0,0
El Flaco,HI-01,-71.05105,19.7001,Ostionan,Late-Final Ceramic,0,0,0,0,38,0,0,22,0,0,13,0
Elliot's,AN-01,-61.738348,17.071831,Cedrosan,Middle Ceramic,0,0,0,8,0,0,0,0,0,0,7,2
Gare Maritime,GD-01,-61.733032,15.996632,Huecan,Early Ceramic,0,0,0,6,17,0,0,0,1,2,4,4
Grand Bay,CA-01,-61.432866,12.477269,Cedrosan,Middle-Late Ceramic,0,0,0,2,8,0,1,0,0,0,1,0
Hacienda Grande,PR-01,-65.701273,18.219175,Huecan,Early Ceramic,0,1,1,3,2,0,0,0,0,0,1,2
Hope Estate,SM-02,-63.040779,18.095434,Cedrosan/Huecan,Early Ceramic,0,0,2,22,34,0,4,0,3,0,19,13
Main Street,ST-02,-64.9359,18.3416,Cedrosan,Early Ceramic,0,0,0,7,1,0,0,0,0,0,1,1
Morel,GD-02,-61.331654,16.332459,Cedrosan,Early Ceramic,2,0,5,21,1,0,0,0,0,1,14,7
Pearls,GR-01,-61.615102,12.145259,Cedrosan,Early Ceramic,0,0,6,251,546,0,69,1,48,2,269,100
Prosperity,SC-01,-64.881883,17.726645,Cedrosan,Early Ceramic,0,0,0,9,3,0,3,0,2,0,3,2
Sorcé,VI-01,-65.490762,18.099322,Cedrosan,Early Ceramic,2,2,84,309,233,0,0,0,73,0,12,71
La Hueca,VI-02,-65.490762,18.099322,Huecan,Early Ceramic,6,0,5,154,608,0,48,0,356,0,87,1579
Tecla,PR-03,-66.789443,18.019253,Huecan,Early Ceramic,1,2,0,31,15,0,0,0,2,0,1,7
Trants,MO-01,-62.162221,16.760155,Cedrosan,Early Ceramic,0,0,1,64,13,20,1,0,0,0,25,6
Vivé,MA-02,-61.082725,14.847667,Cedrosan,Early Ceramic,0,0,4,7,13,0,0,0,2,1,6,2
