Site,Index,Longitude,Latitude,Subserie,Period,Biconical,Cylindrical,Discoid,Faceted,Bead-pendant,Planoconvex,Spherical,Barrel
Anse à la Gourde,GD-03,-61.213342,16.258598,Troumassan,Late Ceramic,0,4,14,0,0,0,0,4
Baie Orientale 2,SM-01,-63.020342,18.087671,Troumassan,Late Ceramic,0,11,1,0,0,0,0,0
El Cabo,HI-04,-68.45222,18.39787,Ostionan,Late-Final Ceramic,0,18,9,0,18,0,0,0
El Flaco,HI-01,-71.05105,19.7001,Ostionan,Late-Final Ceramic,0,22,38,0,22,0,0,13
Elliot's,AN-01,-61.738348,17.071831,Cedrosan,Middle Ceramic,0,8,0,0,0,0,0,7
Gare Maritime,GD-01,-61.733032,15.996632,Huecan,Early Ceramic,0,6,17,0,0,1,2,4
Grand Bay,CA-01,-61.432866,12.477269,Cedrosan,Middle-Late Ceramic,0,2,8,0,0,0,0,1
Hope Estate,SM-02,-63.040779,18.095434,Cedrosan/Huecan,Early Ceramic,2,22,34,0,0,3,0,19
Morel,GD-02,-61.331654,16.332459,Cedrosan,Early Ceramic,5,21,1,0,0,0,1,14
Pearls,GR-01,-61.615102,12.145259,Cedrosan,Early Ceramic,6,252,546,0,1,48,2,269
Prosperity,SC-01,-64.881883,17.726645,Cedrosan,Early Ceramic,0,9,3,0,0,2,0,3
Sorcé,VI-01,-65.490762,18.099322,Cedrosan,Early Ceramic,84,309,233,0,0,73,0,12
La Hueca,VI-02,-65.490762,18.099322,Huecan,Early Ceramic,5,154,608,0,0,356,0,87
Tecla,PR-03,-66.789443,18.019253,Huecan,Early Ceramic,0,31,15,0,0,2,0,1
Trants,MO-01,-62.162221,16.760155,Cedrosan,Early Ceramic,1,64,13,20,0,0,0,25
Vivé,MA-02,-61.082725,14.847667,Cedrosan,Early Ceramic,4,7,13,0,0,2,1,6
