Site,Site_short,Index,Longitude,Latitude,Culture,Period
Anse à la Gourde,AnseGourde,GD-03,-61.213342,16.258598,Troumassoid,Late Ceramic
Baie Orientale 2,BaieOrientale2,SM-01,-63.020342,18.087671,Troumassoid,Late Ceramic
Doig's,Doig,AN-04,-61.81173,17.016176,Cedrosan,Early Ceramic
El Cabo,ElCabo,HI-04,-68.45222,18.39787,Ostionan,Late-Final Ceramic
El Carril,ElCarril,HI-03,-71.071704,19.70544,Meillacan,Late-Final Ceramic
El Flaco,ElFlaco,HI-01,-71.05105,19.7001,Ostionan,Late-Final Ceramic
Elliot's,Elliot,AN-01,-61.738348,17.071831,Cedrosan,Middle Ceramic
Gare Maritime,GareMaritime,GD-01,-61.733032,15.996632,Huecan,Early Ceramic
Golden Grove,GoldenGrove,TO-02,-60.805636,11.163897,Troumassoid,Late Ceramic
Golden Rock,GoldenRock,SE-01,-62.981587,17.490163,Cedrosan,Middle Ceramic
Grand Bay,GrandBay,CA-01,-61.432866,12.477269,Cedrosan,Middle-Late Ceramic
Grand Case,GrandCase,SM-03,-63.052284,18.105405,Troumassoid,Late Ceramic
Hacienda Grande,HaciendaGrande,PR-01,-65.701273,18.219175,Huecan,Early Ceramic
Hope Estate,HopeEstate,SM-02,-63.040779,18.095434,Cedrosan/Huecan,Early Ceramic
La Hueca,LaHueca,VI-02,-65.490762,18.099322,Huecan,Early Ceramic
Main Street,MainStreet,ST-02,-64.9359,18.3416,Cedrosan,Early Ceramic
Morel,Morel,GD-02,-61.331654,16.332459,Cedrosan,Early Ceramic
Pearls,Pearls,GR-01,-61.615102,12.145259,Cedrosan,Early Ceramic
Playa Grande,PlayaGrande,HI-05,-70.012628,19.677556,Ostionan,Late-Final Ceramic
Prosperity,Prosperity,SC-01,-64.881883,17.726645,Cedrosan,Early Ceramic
Punta Candelero,PuntaCandelero,PR-04,-65.789355,18.091867,Huecan,Early Ceramic
Royall's,Royall,AN-03,-61.818153,17.154506,Cedrosan,Middle Ceramic
Seaview,Seaview,BA-01,-61.775599,17.676033,Cedrosan,Early Ceramic
Sorcé,Sorce,VI-01,-65.490762,18.099322,Cedrosan,Early Ceramic
Tecla,Tecla,PR-03,-66.789443,18.019253,Huecan,Early Ceramic
Trants,Trants,MO-01,-62.162221,16.760155,Cedrosan,Early Ceramic
Vivé,Vive,MA-02,-61.082725,14.847667,Cedrosan,Early Ceramic
