1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,11,4,1,2,1,1,1,1,,,,,,,,,,,
2,1,3,1,1,1,17,3,7,9,1,3,1,,,,,,,
1,3,10,1,1,1,2,1,13,13,3,1,9,1,1,,,,,
1,1,1,1,5,2,1,9,6,1,1,2,3,1,2,,,,,
1,1,1,1,1,1,1,1,2,2,2,2,4,4,5,9,11,14,16,26
1,1,2,3,3,4,5,6,7,9,10,12,,,,,,,,
1,1,2,3,3,8,8,15,18,23,56,59,,,,,,,,
1,99,,,,,,,,,,,,,,,,,,
17,65,,,,,,,,,,,,,,,,,,
1,6,25,,,,,,,,,,,,,,,,,
2,11,,,,,,,,,,,,,,,,,,
1,1,4,4,12,,,,,,,,,,,,,,,
1,1,2,4,4,4,6,17,,,,,,,,,,,,
1,1,1,4,9,17,20,,,,,,,,,,,,,
1,1,2,2,2,4,6,6,13,,,,,,,,,,,
2,2,3,6,13,18,20,34,,,,,,,,,,,,
